iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi
1,1,1911,Aleatorio,HilllClimbing,true,false,false,false,68,true,true,Avanzada,-56184.0,-65072.0,12476.0,3588.0,69630.0,69700.0,71,71,10,10,6238,1794
1,1,1521,Aleatorio,HilllClimbing,true,false,false,false,80,true,true,Basica,-57154.0,-66770.0,12476.0,3300.0,69630.0,70070.0,71,71,10,10,6238,1650
1,1,1951,Aleatorio,HilllClimbing,true,false,false,false,68,true,true,Avanzada,-56184.0,-65072.0,12476.0,3588.0,69630.0,69700.0,71,71,10,10,6238,1794
1,1,1476,Aleatorio,HilllClimbing,true,false,false,false,80,true,true,Basica,-57154.0,-66770.0,12476.0,3300.0,69630.0,70070.0,71,71,10,10,6238,1650
1,1,1749,Aleatorio,HilllClimbing,true,false,false,false,68,true,true,Avanzada,-56184.0,-65072.0,12476.0,3588.0,69630.0,69700.0,71,71,10,10,6238,1794
1,1,1567,Aleatorio,HilllClimbing,true,false,false,false,80,true,true,Basica,-57154.0,-66770.0,12476.0,3300.0,69630.0,70070.0,71,71,10,10,6238,1650
1,1,11,Aleatorio,HilllClimbing,false,true,false,false,2,true,true,Avanzada,-56184.0,-57160.0,12476.0,12500.0,69630.0,70620.0,71,72,10,10,6238,6250
1,1,9,Aleatorio,HilllClimbing,false,true,false,false,2,true,true,Basica,-57154.0,-58120.0,12476.0,12500.0,69630.0,70620.0,71,72,10,10,6238,6250
1,1,12,Aleatorio,HilllClimbing,false,true,false,false,2,true,true,Avanzada,-56184.0,-57160.0,12476.0,12500.0,69630.0,70620.0,71,72,10,10,6238,6250
1,1,11,Aleatorio,HilllClimbing,false,true,false,false,2,true,true,Basica,-57154.0,-58120.0,12476.0,12500.0,69630.0,70620.0,71,72,10,10,6238,6250
1,1,9,Aleatorio,HilllClimbing,false,true,false,false,2,true,true,Avanzada,-56184.0,-57160.0,12476.0,12500.0,69630.0,70620.0,71,72,10,10,6238,6250
1,1,10,Aleatorio,HilllClimbing,false,true,false,false,2,true,true,Basica,-57154.0,-58120.0,12476.0,12500.0,69630.0,70620.0,71,72,10,10,6238,6250
1,1,9,Aleatorio,HilllClimbing,false,true,false,false,2,true,true,Avanzada,-56184.0,-57160.0,12476.0,12500.0,69630.0,70620.0,71,72,10,10,6238,6250
1,1,10,Aleatorio,HilllClimbing,false,true,false,false,2,true,true,Basica,-57154.0,-58120.0,12476.0,12500.0,69630.0,70620.0,71,72,10,10,6238,6250
1,1,9,Aleatorio,HilllClimbing,false,true,false,false,2,true,true,Avanzada,-56184.0,-57160.0,12476.0,12500.0,69630.0,70620.0,71,72,10,10,6238,6250
1,1,12,Aleatorio,HilllClimbing,false,true,false,false,2,true,true,Basica,-57154.0,-58120.0,12476.0,12500.0,69630.0,70620.0,71,72,10,10,6238,6250
1,1,65,Aleatorio,HilllClimbing,false,false,true,false,24,true,true,Avanzada,-56184.0,-59476.0,12476.0,9184.0,69630.0,69630.0,71,71,10,10,6238,4592
1,1,55,Aleatorio,HilllClimbing,false,false,true,false,24,true,true,Basica,-57154.0,-60446.0,12476.0,9184.0,69630.0,69630.0,71,71,10,10,6238,4592
1,1,71,Aleatorio,HilllClimbing,false,false,true,false,24,true,true,Avanzada,-56184.0,-59476.0,12476.0,9184.0,69630.0,69630.0,71,71,10,10,6238,4592
1,1,62,Aleatorio,HilllClimbing,false,false,true,false,24,true,true,Basica,-57154.0,-60446.0,12476.0,9184.0,69630.0,69630.0,71,71,10,10,6238,4592
1,1,67,Aleatorio,HilllClimbing,false,false,true,false,24,true,true,Avanzada,-56184.0,-59476.0,12476.0,9184.0,69630.0,69630.0,71,71,10,10,6238,4592
1,1,51,Aleatorio,HilllClimbing,false,false,true,false,24,true,true,Basica,-57154.0,-60446.0,12476.0,9184.0,69630.0,69630.0,71,71,10,10,6238,4592
1,1,74,Aleatorio,HilllClimbing,false,false,true,false,24,true,true,Avanzada,-56184.0,-59476.0,12476.0,9184.0,69630.0,69630.0,71,71,10,10,6238,4592
1,1,56,Aleatorio,HilllClimbing,false,false,true,false,24,true,true,Basica,-57154.0,-60446.0,12476.0,9184.0,69630.0,69630.0,71,71,10,10,6238,4592
1,1,71,Aleatorio,HilllClimbing,false,false,true,false,24,true,true,Avanzada,-56184.0,-59476.0,12476.0,9184.0,69630.0,69630.0,71,71,10,10,6238,4592
1,1,50,Aleatorio,HilllClimbing,false,false,true,false,24,true,true,Basica,-57154.0,-60446.0,12476.0,9184.0,69630.0,69630.0,71,71,10,10,6238,4592
1,1,2387,Aleatorio,HilllClimbing,true,false,true,true,74,true,true,Avanzada,-56184.0,-66160.0,12476.0,2500.0,69630.0,69750.0,71,71,10,10,6238,1250
1,1,1824,Aleatorio,HilllClimbing,true,false,true,true,78,true,true,Basica,-57154.0,-67582.0,12476.0,2548.0,69630.0,70130.0,71,71,10,10,6238,1274
1,1,2493,Aleatorio,HilllClimbing,true,false,true,true,74,true,true,Avanzada,-56184.0,-66160.0,12476.0,2500.0,69630.0,69750.0,71,71,10,10,6238,1250
1,1,1659,Aleatorio,HilllClimbing,true,false,true,true,78,true,true,Basica,-57154.0,-67582.0,12476.0,2548.0,69630.0,70130.0,71,71,10,10,6238,1274
1,1,2463,Aleatorio,HilllClimbing,true,false,true,true,74,true,true,Avanzada,-56184.0,-66160.0,12476.0,2500.0,69630.0,69750.0,71,71,10,10,6238,1250
1,1,1677,Aleatorio,HilllClimbing,true,false,true,true,78,true,true,Basica,-57154.0,-67582.0,12476.0,2548.0,69630.0,70130.0,71,71,10,10,6238,1274
1,1,2449,Aleatorio,HilllClimbing,true,false,true,true,74,true,true,Avanzada,-56184.0,-66160.0,12476.0,2500.0,69630.0,69750.0,71,71,10,10,6238,1250
